Wavelength,d45_Reflectance,d_Reflectance,v45_Reflectance,v_Reflectance
435.345,0.78,6.06,5.09,10.3
435.699,0.73,6.05,5.06,10.19
436.053,0.72,6.06,5.1,10.06
436.407,0.69,6.07,5.11,9.97
436.761,0.68,6.07,5.11,9.87
437.115,0.69,6.1,5.19,9.83
437.469,0.7,6.08,5.22,9.77
437.823,0.68,6.1,5.27,9.72
438.177,0.72,6.07,5.27,9.66
438.531,0.73,6.08,5.26,9.63
438.885,0.69,6.01,5.28,9.53
439.238,0.66,5.97,5.31,9.45
439.592,0.67,5.96,5.3,9.38
439.946,0.64,5.97,5.3,9.36
440.3,0.64,5.94,5.3,9.26
440.653,0.61,5.94,5.31,9.26
441.007,0.59,5.96,5.29,9.24
441.36,0.6,5.99,5.32,9.27
441.714,0.6,6.05,5.32,9.31
442.067,0.56,6.05,5.31,9.34
442.421,0.56,6.05,5.33,9.36
442.774,0.54,6.06,5.32,9.44
443.127,0.52,6.08,5.31,9.41
443.481,0.53,6.07,5.35,9.42
443.834,0.53,6.09,5.32,9.45
444.187,0.51,6.06,5.3,9.44
444.541,0.52,6.09,5.34,9.44
444.894,0.54,6.12,5.37,9.48
445.247,0.57,6.15,5.42,9.47
445.6,0.55,6.13,5.44,9.51
445.953,0.56,6.15,5.44,9.57
446.306,0.56,6.14,5.47,9.54
446.659,0.59,6.16,5.55,9.62
447.012,0.59,6.14,5.52,9.65
447.365,0.61,6.14,5.54,9.67
447.718,0.61,6.14,5.53,9.72
448.071,0.63,6.18,5.55,9.75
448.424,0.62,6.17,5.56,9.7
448.776,0.65,6.2,5.59,9.74
449.129,0.64,6.21,5.55,9.7
449.482,0.68,6.24,5.61,9.71
449.834,0.66,6.26,5.6,9.72
450.187,0.65,6.26,5.6,9.69
450.54,0.67,6.29,5.64,9.7
450.892,0.71,6.32,5.69,9.81
451.245,0.69,6.33,5.71,9.84
451.597,0.68,6.34,5.73,9.89
451.95,0.67,6.36,5.75,9.98
452.302,0.66,6.37,5.79,9.99
452.655,0.67,6.38,5.82,10.04
453.007,0.68,6.4,5.83,10.1
453.359,0.65,6.36,5.82,10.09
453.712,0.68,6.39,5.79,10.1
454.064,0.68,6.41,5.82,10.1
454.416,0.68,6.45,5.82,10.1
454.768,0.68,6.44,5.79,10.11
455.12,0.68,6.49,5.81,10.14
455.472,0.66,6.44,5.81,10.13
455.824,0.64,6.49,5.83,10.12
456.176,0.64,6.49,5.9,10.15
456.528,0.68,6.48,5.93,10.16
456.88,0.64,6.45,5.96,10.14
457.232,0.64,6.42,5.97,10.14
457.584,0.63,6.39,5.96,10.09
457.936,0.62,6.4,5.98,10.11
458.288,0.65,6.37,5.99,10.15
458.64,0.62,6.35,5.98,10.18
458.991,0.63,6.38,5.98,10.24
459.343,0.68,6.4,5.99,10.3
459.695,0.66,6.42,6.04,10.31
460.046,0.67,6.41,6.06,10.4
460.398,0.67,6.41,6.06,10.43
460.749,0.65,6.45,6.04,10.44
461.101,0.67,6.44,6.03,10.42
461.452,0.6,6.41,6.06,10.39
461.804,0.59,6.41,6.06,10.42
462.155,0.6,6.43,6.02,10.43
462.507,0.65,6.53,6.06,10.44
462.858,0.71,6.57,6.11,10.53
463.209,0.73,6.64,6.18,10.52
463.56,0.76,6.68,6.26,10.59
463.912,0.77,6.69,6.24,10.64
464.263,0.8,6.7,6.26,10.66
464.614,0.82,6.74,6.34,10.71
464.965,0.77,6.69,6.35,10.77
465.316,0.73,6.71,6.33,10.76
465.667,0.72,6.68,6.31,10.84
466.018,0.7,6.71,6.27,10.88
466.369,0.72,6.76,6.31,10.94
466.72,0.69,6.78,6.33,10.93
467.071,0.65,6.77,6.3,10.95
467.422,0.67,6.79,6.34,10.97
467.773,0.66,6.75,6.37,10.98
468.123,0.68,6.76,6.42,10.98
468.474,0.67,6.75,6.41,10.97
468.825,0.68,6.77,6.43,11
469.175,0.68,6.76,6.43,11.07
469.526,0.71,6.75,6.44,11.14
469.877,0.72,6.73,6.4,11.14
470.227,0.72,6.8,6.39,11.18
470.578,0.7,6.83,6.39,11.2
470.928,0.72,6.81,6.43,11.27
471.279,0.74,6.79,6.39,11.26
471.629,0.73,6.8,6.46,11.28
471.979,0.75,6.85,6.47,11.29
472.33,0.77,6.93,6.53,11.37
472.68,0.78,6.87,6.55,11.45
473.03,0.79,6.9,6.54,11.47
473.381,0.76,6.93,6.55,11.48
473.731,0.72,6.93,6.56,11.54
474.081,0.76,6.94,6.52,11.62
474.431,0.77,6.98,6.55,11.69
474.781,0.75,6.97,6.53,11.73
475.131,0.77,7.03,6.53,11.74
475.481,0.79,7.03,6.51,11.82
475.831,0.82,7.02,6.51,11.86
476.181,0.86,7.06,6.52,11.91
476.531,0.84,7.09,6.51,11.91
476.881,0.85,7.05,6.47,11.89
477.231,0.87,7.08,6.5,11.89
477.58,0.88,7.09,6.52,11.91
477.93,0.89,7.07,6.53,11.89
478.28,0.88,7.09,6.54,11.94
478.63,0.86,7.08,6.55,11.96
478.979,0.84,7.07,6.53,11.94
479.329,0.8,7.07,6.54,11.95
479.678,0.79,7.07,6.5,11.99
480.028,0.77,7.09,6.46,11.99
480.377,0.75,7.12,6.5,12.09
480.727,0.76,7.24,6.54,12.25
481.076,0.78,7.39,6.65,12.54
481.426,0.82,7.62,6.88,12.94
481.775,0.85,7.85,7.11,13.4
482.124,0.86,8.05,7.37,13.84
482.473,0.89,8.24,7.57,14.29
482.823,0.91,8.44,7.73,14.68
483.172,0.93,8.59,7.89,14.96
483.521,0.95,8.67,7.99,15.14
483.87,0.96,8.69,7.99,15.27
484.219,0.98,8.72,7.99,15.36
484.568,1,8.78,8,15.45
484.917,1,8.88,8.05,15.58
485.266,1,8.97,8.14,15.78
485.615,1.01,9.05,8.23,16.01
485.964,0.99,9.13,8.29,16.22
486.313,0.98,9.17,8.34,16.28
486.662,0.96,9.15,8.34,16.31
487.01,0.95,9.08,8.28,16.23
487.359,0.94,8.95,8.2,16.06
487.708,0.92,8.79,8.04,15.82
488.056,0.91,8.64,7.88,15.59
488.405,0.91,8.54,7.74,15.36
488.754,0.93,8.48,7.65,15.29
489.102,0.94,8.45,7.6,15.23
489.451,0.95,8.44,7.59,15.28
489.799,0.97,8.44,7.58,15.32
490.148,0.98,8.47,7.6,15.36
490.496,0.98,8.43,7.59,15.35
490.844,1,8.37,7.59,15.34
491.193,0.99,8.29,7.55,15.21
491.541,0.99,8.22,7.47,15.05
491.889,0.98,8.1,7.36,14.86
492.238,0.97,8,7.23,14.71
492.586,0.96,7.86,7.13,14.54
492.934,0.94,7.79,7.05,14.4
493.282,0.92,7.74,6.96,14.26
493.63,0.91,7.74,6.9,14.26
493.978,0.88,7.7,6.87,14.25
494.326,0.87,7.7,6.87,14.25
494.674,0.89,7.7,6.88,14.27
495.022,0.88,7.72,6.88,14.32
495.37,0.89,7.75,6.88,14.4
495.718,0.88,7.74,6.89,14.47
496.065,0.89,7.75,6.92,14.5
496.413,0.92,7.76,6.93,14.56
496.761,0.93,7.8,6.95,14.65
497.109,0.89,7.8,6.98,14.7
497.456,0.91,7.83,6.99,14.73
497.804,0.95,7.83,7.02,14.79
498.151,0.97,7.86,7.05,14.83
498.499,0.96,7.9,7.01,14.86
498.846,0.94,7.91,7,14.89
499.194,0.96,7.92,7.02,14.9
499.541,1,7.98,7.01,14.97
499.889,1,8,6.97,15.02
500.236,1,8.08,6.95,15.01
500.583,1.03,8.14,6.98,15.11
500.931,1.02,8.13,7,15.22
501.278,1.02,8.17,7,15.26
501.625,1.03,8.19,7.01,15.33
501.972,1.04,8.22,7.05,15.42
502.319,1.04,8.24,7.1,15.52
502.666,1.04,8.22,7.12,15.62
503.014,1,8.22,7.12,15.67
503.361,1.03,8.25,7.16,15.68
503.707,1.02,8.28,7.17,15.73
504.054,1.02,8.31,7.12,15.84
504.401,1,8.3,7.09,15.81
504.748,1.01,8.33,7.07,15.89
505.095,0.99,8.36,7.08,15.95
505.442,1.01,8.38,7.09,16.04
505.789,1.01,8.42,7.04,16.18
506.135,1.01,8.45,7.07,16.28
506.482,1,8.45,7.11,16.36
506.829,0.99,8.49,7.08,16.49
507.175,0.99,8.53,7.16,16.53
507.522,0.96,8.5,7.14,16.58
507.868,0.94,8.49,7.16,16.68
508.215,0.93,8.49,7.2,16.77
508.561,0.95,8.52,7.16,16.9
508.908,0.95,8.54,7.15,17.01
509.254,0.97,8.55,7.15,17.1
509.6,1,8.59,7.14,17.21
509.947,1.04,8.64,7.15,17.36
510.293,1.05,8.71,7.15,17.42
510.639,1.07,8.78,7.12,17.55
510.985,1.06,8.79,7.15,17.63
511.331,1.07,8.8,7.17,17.74
511.677,1.06,8.82,7.22,17.82
512.023,1.01,8.8,7.19,17.9
