Day,Pair,Flower,Treatment,File Name,Block,scale bar (pixel),scale bar (mm),flower width (mm),Flower width (pixels),Genus,gender,length(pixels),length(mm),land,start,stop,duration(s),nectar,pollen,attack,Notes,File Location
2,9,19,control,DSC_0018,a,60,12.7,33.23,157,no bees,,,0.00,,,,0.00,,,no,"petals intact, anthers not apparent, ",
2,9,14,treated,DSC_0020,b,118,12.7,31.21,290,melissodes,male,139,14.96,,2970,2973,0.10,,,,"petals intact, anthers apparent, ",
2,9,14,treated,DSC_0020,b,118,12.7,31.21,290,lithurgus,female,180,19.37,yes,14991,15104,3.77,yes,no,no,,
2,9,14,treated,DSC_0020,b,124,12.7,29.70,290,lithurgus,female,170,17.41,yes,18823,18845,0.73,yes,no,no,,
2,9,13,control,MVI_9731,b,98,12.7,21.25,164,Andrena,female,127,16.46,yes,39568,39619,1.70,yes,no,no,"petals intact, anthers not apparent, ",
2,10,4,treated,MVI_9733,a,107,12.7,18.75,158,beetle left,,,0.00,,62312,74436,404.13,,,,"petals intact, anthers apparent, ",
2,10,8,control,DSC_0021,a,172,12.7,17.35,235,no bees,,,0.00,,,,0.00,,,no,,
2,10,19,treated,MVI_9734,b,91,12.7,22.05,158,beetle left,,,0.00,,82316,93664,378.27,,,,,
2,10,16,control,DSC_0022,b,149,12.7,20.37,239,beetle left on treatment,,,0.00,,6643,17991,378.27,,,no,"petals intact, anthers not apparent, ",
1,1,16,treated,MVI_9690,a,92,12.7,24.16,175,no bees,,,0.00,,,,0.00,,,,"petals intact, pollen visible on anthers, flower appears to be in shadow",
1,1,2,control,DSC_0002,a,155,12.7,24.83,303,no bees,,,0.00,,,,0.00,,,no,"petals intact, pollen visible on anthers, flower appears to be in shadow",
1,1,6,treated,DSC_0004,b,121,12.7,24.88,237,no bees,,,0.00,,,,0.00,,,,"petals intact, pollen visible on anthers",
1,1,1,control,MVI_9692,b,143,12.7,19.27,217,no bees,,,0.00,,,,0.00,,,no,"petals intact, pollen visible on anthers, sun rises above tree line at minute 5",
1,2,10,treated,DSC_0005,a,154,12.7,22.43,272,no bees,,,0.00,,,,0.00,,,,"petals intact, pollen visible on anthers, beetle in center of flower",
1,2,6,control,MVI_9693,a,138,12.7,18.87,205,melissodes,female,118,,yes,1932873,1933448,19.17,yes,yes,no,"one petal with herbivore damage, pollen visible on anthers",
1,2,15,control,MVI_9694,b,118,12.7,19.16,178,Andrena,female,133,,yes,1959257,1960933,55.87,yes,yes,no,"petals intact, anthers clearly visible",
1,2,15,control,MVI_9694,b,118,12.7,19.16,178,Andrena,female,111,,yes,1961156,1961328,5.73,yes,yes,no,,
