Day,Pair,Flower,Treatment,File Name,Block,scale bar (pixel),scale bar (mm),flower width (mm),Flower width (pixels),Genus,sex,length(pixels),length(mm),land,start,stop,duration(s),nectar,pollen,attack,Notes,File Location
3,6,15,control,MVI_6801,b,80,12.7,32.7,206,Melissodes,male,89,14.13,no,1628353,1628354,0.03,no,no,no,"lower light, fast moving bees are streaky",
3,6,15,control,MVI_6801,b,80,12.7,32.7,206,Melissodes,male,68,10.8,no,1630555,1630564,0.3,no,no,no,,
3,6,15,control,MVI_6801,b,80,12.7,32.7,206,Melissodes,male,63,10,no,1631148,1631152,0.13,no,no,no,,
3,6,15,control,MVI_6801,b,80,12.7,32.7,206,Melissodes,male,89,14.13,no,1631401,1631405,0.13,no,no,no,,
3,6,15,control,MVI_6801,b,80,12.7,32.7,206,Melissodes,female,90,14.29,yes,1631886,1632299,13.77,yes,yes,no,,
3,6,15,control,MVI_6801,b,80,12.7,32.7,206,Melissodes,male,89,14.13,no,1632298,1632321,0.77,no,no,no,,
3,6,15,control,MVI_6801,b,80,12.7,32.7,206,Melissodes,male,76,12.07,no,1635318,1635322,0.13,no,no,no,,
3,6,8,treated,MVI_4740,b,71,12.7,27.9,156,Melissodes,female,87,15.56,yes,9477,9885,13.6,yes,yes,no,"petals with some herbivory, anthers with pollen, ambush bug placed on top of the flower",
3,6,8,treated,MVI_4740,b,71,12.7,27.9,156,Melissodes,female,83,14.85,yes,16966,17325,11.97,yes,yes,no,,
3,7,17,treated,MVI_4741,a,92,12.7,30.65,222,Lithurgus,male,111,15.32,yes,7853,8350,16.57,yes,no,no,"petals all intact, ambush bug at 12, oriented to screen right, ",
3,7,17,treated,MVI_4741,a,92,12.7,30.65,222,Melissodes,male,97,13.39,no,8730,8738,0.27,no,no,no,,
3,7,19,control,MVI_6802,a,105,12.7,26.13,216,Melissodes,male,91,11.01,no,1660323,1660326,0.1,no,no,no,,
3,7,1,control,MVI_6803,b,86,12.7,28.06,190,Melissodes,male,87,12.85,yes,1666628,1667031,13.43,yes,no,no,"petals wide, anthers with pollen, ",
3,7,1,control,MVI_6803,b,86,12.7,28.06,190,Melissodes,male,76,11.22,yes,1668203,1668253,1.67,yes,no,no,,
3,7,1,control,MVI_6803,b,86,12.7,28.06,190,Melissodes,male,73,10.78,no,1669810,1669815,0.17,no,no,no,,
3,7,1,control,MVI_6803,b,86,12.7,28.06,190,Halictus,male,67,9.89,no,1670179,1670185,0.2,no,no,no,,
3,7,1,control,MVI_6803,b,86,12.7,28.06,190,Melissodes,male,83,12.26,no,1670998,1671006,0.27,no,no,no,,
3,7,1,control,MVI_6803,b,86,12.7,28.06,190,Melissodes,male,83,12.26,no,1673780,1673785,0.17,no,no,no,,
3,7,1,control,MVI_6803,b,86,12.7,28.06,190,Melissodes,male,78,11.52,yes,1675101,1675243,4.73,yes,no,no,,
3,7,1,control,MVI_6803,b,86,12.7,28.06,190,Melissodes,male,NA,#VALUE!,no,1676279,1676284,0.17,no,no,no,,
3,7,1,control,MVI_6803,b,86,12.7,28.06,190,Melissodes,male,74,10.93,yes,1677613,1677619,0.2,no,no,no,,
3,7,1,control,MVI_6803,b,86,12.7,28.06,190,Melissodes,male,74,10.93,no,1678106,1678113,0.23,no,no,no,,
3,7,1,control,MVI_6803,b,86,12.7,28.06,190,Melissodes,male,72,10.63,no,1678116,1678124,0.27,no,no,no,,
3,7,1,control,MVI_6803,b,86,12.7,28.06,190,Melissodes,male,82,12.11,no,1679043,1679050,0.23,no,no,no,,
